"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"184","9958493247003338","9782354132880","2018","Weninger, Brigitte","fre","Apprendre? Quel plaisir!","Lernen macht Spaß","[Paris]","XA-FR"
"185","990049072010603392","9782070718610","2011","Handke, Peter","fre","Après-midi d'un écrivain","Nachmittag eines Schriftstellers","Paris","XA-FR"
"186","9958870409603338","9783847704270","2020","Szentkuthy, Miklós","ger","Apropos Casanova","fail","Berlin","XA-DE"
"188","9958870351403338","9788416176083","2014","Stimeder, Klaus","spa","Aquí Berlín","Hier ist Berlin","[Salamanca]","XA-ES"
"189","9958884549203338","9789047710325","2019","Poznanski, Ursula","dut","Aquila","Aquila","Rotterdam","XA-NL"
"192","990050085800603392","9783518240557","2016","Plath, Sylvia","eng","Ariel","Ariel","Berlin","XA-DE-BE"
"196","990043957020603392","9788799468300","2011","Bernhard, Thomas","dan","Årsagen","<<Die>> Ursache","[Frederiksberg]","XA-DK"
"197","990047585130603392","9782246851844","2015","Glattauer, Daniel","fre","L' art de ne pas rompre","<<Die>> Wunderübung","Paris","XA-FR"
"199","9958968206603338","9781803091426","2023","Mayröcker, Friederike","eng","As mornings and mossgreen I. step to the window","Da ich morgens und moosgrün. ans Fenster trete","London","XA-GB"
"203","990049828230603392","9780802854711","2016","Bansch, Helga","eng","At night","In der Nacht ...","Grand Rapids","XD-US"
"204","990037411960603392","9788483430866","2010","Nöstlinger, Christine","cat","Atenció! En Vranek sembla del tot inofensiu!","Achtung! Vranek sieht ganz harmlos aus!","[Barcelona]","XA-ES"
"215","9958943591203338","9783035805154","2022","Perec, Georges","ger","Das Attentat von Sarajevo","<<L'>> attentat de Sarajevo","Zürich","XA-CH"
"218","990043329420603392","9783406653858","2013","Frame, Janet","ger","Auf dem Maniototo","On the Maniototo","München","XA-DE"
"219","990006255280603392","9783908612025","2015","Weninger, Brigitte","roh","Aunghel, lieur, capetscha da misarocla ...","fail","Laax","XA-CH"
"220","990044102310603392","9789687791760","2011","Nöstlinger, Christine","spa","La auténtica Susi","Echt Susi","México, D.F.","XD-MX"
"221","990043122540603392","9788671881210","2010","Bernhard, Thomas","srp","Autobiografski spisi","fail","Novi Sad","XA-SP"
"224","990047300700603392","9783937717517","2010","Paskov, Viktor","ger","Autopsie","Autopsia na edna ljubov","Berlin","XA-DE-BE"
"227","990049798390603392","9789583048296","2015","Luhn, Usch","spa","La aventura de la princesa Lila","Prinzessin Lilas abenteuerliche Reise","Bogotá D.C., Columbia","XD-CO"
"229","990050278800603392","9788508151288","2016","Brezina, Thomas","por","O avião fantasma","<<Das>> Geisterflugzeug","São Paulo, SP","XD-BR"
"230","9958540376703338","9788466144773","2018","Brezina, Thomas","cat","L' avió fantasma","<<Das>> Geisterflugzeug","Barcelona","XA-ES"
"231","990049592570603392","9788467561630","2013","Brezina, Thomas","spa","El avión fantasma","<<Das>> Geisterflugzeug","Boadilla del Monte (Madrid)","XA-ES"
"234","9958504675203338","9786059691666","2016","Zweig, Stefan","tur","Avrupa'nin vicdanı ""Romain Rolland""","Romain Rolland","İstanbul","XB-TR"
"236","990044430210603392","9788420663319","2011","Handke, Peter","spa","Ayer, de camino","Gestern unterwegs","Madrid","XA-ES"
"237","9958827878703338","9786052985502","2019","Bernhard, Thomas","tur","Ayin demiri altinda","Unter dem Eisen des Mondes","İstanbul","XB-TR"
"240","990047507750603392","9787530752852","2014","Nöstlinger, Christine","chi","Ba te xian sheng de fan lao huan tong yao","Mr. Bats Meisterstück oder die total verjüngte Oma","Tian jin","XB-CN"
"246","9958522572503338","9789172998360","2017","Hula, Saskia","swe","Bästa gänget i världen","<<Die>> beste Bande der Welt","[Bromma]","XA-SE"
"249","9958945293703338","9783423764032","2022","Ibbotson, Eva","ger","Bahnsteig 13 öffnet sich wieder","Beyond platform 13","München","XA-DE-BY"
"251","9958818980003338","9788090777125","2020","Zweig, Stefan","cze","Balzac","Balzac","Praha","XA-CZ"
"252","9958583773303338","9788671826358","2017","Salten, Felix","scr","Bambi","Bambi","Beograd","XA-RS"
"253","990049497370603392","8671822354","2012","Salten, Felix","scr","Bambi","Bambi","Beograd","XA-CSXX"
"254","9958566973603338","9789634320166","2016","Salten, Felix","hun","Bambi","Bambi","[Budapest]","XA-HU"
"255","9958852455103338","9789916613603","2020","Salten, Felix","est","Bambi","Bambi","[Tallinn]","XA-EE"
"256","9958938910903338","9788664750240","2021","Salten, Felix","srp","Bambi","Bambi","Beograd","XA-RS"
"257","990049978530603392","9782743636470","2016","Salten, Felix","fre","Bambi","Bambi","Paris","XA-FR"
"258","9958550957403338","9788365122476","2018","Salten, Felix","pol","Bambi","Bambi","Poznań","XA-PL"
"259","9958935602203338","9781681376318","2022","Salten, Felix","eng","Bambi","Bambi","New York","XD-US"
